"","cluster","감독_배우시너지","스크린점유율","감독점수","장르_관객점수부여","휴일","X12세이상관람가","X15세이상관람가","전체관람가","청소년관람불가","배우점수","누적관객수","배급사점수","평균스크린수","평스_증가율"
"49","2",9,61.1135466900482,4.66666666666667,20,9,FALSE,TRUE,FALSE,FALSE,12.6666666666667,4775441,3,1322,111.52
"50","2",6,49.074374797012,2.5,10,11,FALSE,TRUE,FALSE,FALSE,9.2,4573902,3,1325,132.660228270413
"51","2",4,27.0543008169149,2.16666666666667,10,11,FALSE,TRUE,FALSE,FALSE,16.25,4598985,2,532.5,112.151394422311
"52","2",10,47.3608098336949,4.5,10,10,FALSE,TRUE,FALSE,FALSE,11.2,5317959,2,1217.5,116.444444444444
"53","2",4,37.0421245421245,5,10,9,FALSE,TRUE,FALSE,FALSE,12.6666666666667,5584139,2,741.5,120.029673590504
"54","2",9,37.4368932038835,2.8,20,9,TRUE,FALSE,FALSE,FALSE,9.83333333333333,5599665,2,869,124.547803617571
"55","2",4,38.2978723404255,5.25,10,10,FALSE,FALSE,FALSE,TRUE,8.25,4662829,3,625.5,152.727272727273
"56","2",2,52.1620701395982,1.75,10,10,FALSE,TRUE,FALSE,FALSE,11.2,5063844,2,1297.5,144.12041392286
"57","2",4,22.2340425531915,7.83333333333333,20,11,TRUE,FALSE,FALSE,FALSE,7,6081480,3,392.5,113.896457765668
"58","2",9,33.3493512734262,3.5,10,9,TRUE,FALSE,FALSE,FALSE,13.5,4909937,2,601,136.614173228346
"59","2",8,64.014290354011,1,30,10,TRUE,FALSE,FALSE,FALSE,12.6666666666667,6290502,3,1970.5,100.05076142132
"60","2",6,34.2623738587218,4.66666666666667,10,10,FALSE,FALSE,FALSE,TRUE,12.6666666666667,4720050,3,656,119.031719532554
"61","2",10,47.9376420915882,2.16666666666667,20,9,FALSE,TRUE,FALSE,FALSE,11.2,4787538,3,1434,106.034482758621
"62","2",9,49.9174917491749,3.54545454545455,20,11,TRUE,FALSE,FALSE,FALSE,15.8181818181818,6247651,3,1166.5,107.747105966162
"63","2",8,35.6684981684982,5,10,8,FALSE,TRUE,FALSE,FALSE,9,5604106,2,701,125.040128410915
"64","2",4,30.7234432234432,2.6,10,10,FALSE,FALSE,FALSE,TRUE,12.125,4682492,2,636.5,111.461794019934
"65","2",4,25.0124812780829,3.75,20,8,FALSE,FALSE,FALSE,TRUE,5,6178452,3,456,121.897810218978
"66","2",5,52.4344569288389,3.5,20,13,TRUE,FALSE,FALSE,FALSE,9,5441020,2,1330.5,137.377341659233
"67","2",5,36.4728495915425,3.66666666666667,10,9,FALSE,TRUE,FALSE,FALSE,9.75,4515833,3,637,147.378640776699
"68","2",5,41.7904290429043,9,10,8,TRUE,FALSE,FALSE,FALSE,9.66666666666667,6044956,2,840,151.874062968516
"69","2",3,31.8642350557244,2.83333333333333,10,9,TRUE,FALSE,FALSE,FALSE,11.75,5311232,3,546,135.85313174946
"70","2",8,45.1140619679946,5,10,8,FALSE,TRUE,FALSE,FALSE,10.8461538461538,5294154,2,1203,122.571692876966
"71","2",5,21.6019417475728,7,30,10,TRUE,FALSE,FALSE,FALSE,9,6436508,3,338.5,110.903426791277
"72","2",7,28.4073889166251,8.33333333333333,10,11,FALSE,TRUE,FALSE,FALSE,15.8181818181818,5416829,3,553.5,105.762081784387
"73","2",5,30.6613226452906,12.25,20,10,TRUE,FALSE,FALSE,FALSE,10.8461538461538,6065369,3,600.5,103.904923599321
"74","2",3,32.1175278622087,3.5,10,12,TRUE,FALSE,FALSE,FALSE,15.6363636363636,4786259,3,540.5,141.834451901566
"75","2",3,39.8409255242227,3.5,20,9,FALSE,TRUE,FALSE,FALSE,4.66666666666667,5653444,2,1102,100
"76","2",7,21.6067864271457,4.66666666666667,10,9,FALSE,FALSE,FALSE,TRUE,12.6666666666667,5046096,3,412,110.74168797954
"77","2",9,30.6583373378184,6.33333333333333,10,9,TRUE,FALSE,FALSE,FALSE,8.66666666666667,5181014,3,617.5,106.867671691792
"78","2",8,26.1702127659574,12.25,10,12,FALSE,FALSE,FALSE,TRUE,11,5685521,3,407,152.795031055901
"79","2",2,21.6489361702128,3.66666666666667,10,10,FALSE,TRUE,FALSE,FALSE,9,5074314,3,370.5,121.85628742515
"80","2",9,45.9805825242718,3.66666666666667,10,8,TRUE,FALSE,FALSE,FALSE,17,4584800,2,1106.5,115.063168124393
"81","3",6,46.9631236442516,4,10,9,FALSE,TRUE,FALSE,FALSE,16,7232387,3,1299,100
"82","3",10,70.368932038835,9,10,12,FALSE,TRUE,FALSE,FALSE,10.7692307692308,9707581,3,1540,142.902208201893
"83","3",10,57.6699029126214,4.66666666666667,10,10,FALSE,TRUE,FALSE,FALSE,16,6879989,1,1305,132
"84","3",6,50.3253796095445,4.16666666666667,20,10,FALSE,TRUE,FALSE,FALSE,10.8461538461538,7817654,3,1146,154.666666666667
"85","3",7,20.3592814371257,7.25,10,10,TRUE,FALSE,FALSE,FALSE,16,8223266,2,376.5,118.260869565217
"86","3",7,56.7765567765568,4.5,20,12,FALSE,TRUE,FALSE,FALSE,16,9135802,3,1083.5,133.764832793959
"87","3",8,28.5571142284569,7.83333333333333,10,8,TRUE,FALSE,FALSE,FALSE,16.75,8035181,3,538,112.648221343874
"88","3",6,73.2827187274042,5,20,9,FALSE,TRUE,FALSE,FALSE,20.5,6592151,3,2027,100
"89","3",1,46.5759075907591,2.6,10,9,FALSE,FALSE,FALSE,TRUE,11.375,7072507,3,1018,124.476295479603
"90","3",0,41.0379625180202,3.66666666666667,20,8,FALSE,TRUE,FALSE,FALSE,16,6654842,3,721,145.238095238095
