"cluster","감독_배우시너지","스크린점유율","감독점수","장르_관객점수부여","휴일","X12세이상관람가","X15세이상관람가","전체관람가","청소년관람불가","배우점수","누적관객수"
"2",8,35.6684981684982,5,10,8,FALSE,TRUE,FALSE,FALSE,9,5604106
"2",4,30.7234432234432,2.6,10,10,FALSE,FALSE,FALSE,TRUE,12.125,4682492
"2",4,25.0124812780829,3.75,20,8,FALSE,FALSE,FALSE,TRUE,5,6178452
"2",5,52.4344569288389,3.5,20,13,TRUE,FALSE,FALSE,FALSE,9,5441020
"2",5,36.4728495915425,3.66666666666667,10,9,FALSE,TRUE,FALSE,FALSE,9.75,4515833
"2",5,41.7904290429043,9,10,8,TRUE,FALSE,FALSE,FALSE,9.66666666666667,6044956
"2",3,31.8642350557244,2.83333333333333,10,9,TRUE,FALSE,FALSE,FALSE,11.75,5311232
"2",8,45.1140619679946,5,10,8,FALSE,TRUE,FALSE,FALSE,10.8461538461538,5294154
"2",5,21.6019417475728,7,30,10,TRUE,FALSE,FALSE,FALSE,9,6436508
"2",7,28.4073889166251,8.33333333333333,10,11,FALSE,TRUE,FALSE,FALSE,15.8181818181818,5416829
"2",5,30.6613226452906,12.25,20,10,TRUE,FALSE,FALSE,FALSE,10.8461538461538,6065369
"2",3,32.1175278622087,3.5,10,12,TRUE,FALSE,FALSE,FALSE,15.6363636363636,4786259
"2",3,39.8409255242227,3.5,20,9,FALSE,TRUE,FALSE,FALSE,4.66666666666667,5653444
"2",7,21.6067864271457,4.66666666666667,10,9,FALSE,FALSE,FALSE,TRUE,12.6666666666667,5046096
"2",9,30.6583373378184,6.33333333333333,10,9,TRUE,FALSE,FALSE,FALSE,8.66666666666667,5181014
"2",8,26.1702127659574,12.25,10,12,FALSE,FALSE,FALSE,TRUE,11,5685521
"2",2,21.6489361702128,3.66666666666667,10,10,FALSE,TRUE,FALSE,FALSE,9,5074314
"2",9,45.9805825242718,3.66666666666667,10,8,TRUE,FALSE,FALSE,FALSE,17,4584800
"3",6,46.9631236442516,4,10,9,FALSE,TRUE,FALSE,FALSE,16,7232387
"3",10,70.368932038835,9,10,12,FALSE,TRUE,FALSE,FALSE,10.7692307692308,9707581
"3",10,57.6699029126214,4.66666666666667,10,10,FALSE,TRUE,FALSE,FALSE,16,6879989
"3",6,50.3253796095445,4.16666666666667,20,10,FALSE,TRUE,FALSE,FALSE,10.8461538461538,7817654
"3",7,20.3592814371257,7.25,10,10,TRUE,FALSE,FALSE,FALSE,16,8223266
"3",7,56.7765567765568,4.5,20,12,FALSE,TRUE,FALSE,FALSE,16,9135802
"3",8,28.5571142284569,7.83333333333333,10,8,TRUE,FALSE,FALSE,FALSE,16.75,8035181
"3",6,73.2827187274042,5,20,9,FALSE,TRUE,FALSE,FALSE,20.5,6592151
"3",1,46.5759075907591,2.6,10,9,FALSE,FALSE,FALSE,TRUE,11.375,7072507
"3",0,41.0379625180202,3.66666666666667,20,8,FALSE,TRUE,FALSE,FALSE,16,6654842
"3",0,31.4936708860759,8,20,9,TRUE,FALSE,FALSE,FALSE,16,7855474
"3",4,47.9223300970874,4.33333333333333,10,9,FALSE,TRUE,FALSE,FALSE,16,6975571
"3",8,58.2912621359223,3.5,20,8,FALSE,TRUE,FALSE,FALSE,15.6363636363636,7150586
"3",7,56.0776699029126,3.5,20,12,FALSE,TRUE,FALSE,FALSE,15.8181818181818,7500457
"3",5,47.5415762834418,5,10,11,FALSE,FALSE,FALSE,TRUE,9.2,6880546
"3",8,40.9340659340659,5,20,9,FALSE,TRUE,FALSE,FALSE,22,7166453
"3",10,51.6483516483517,9.25,30,10,FALSE,TRUE,FALSE,FALSE,16,9350323
"3",9,45.0241122314774,5.25,10,10,FALSE,TRUE,FALSE,FALSE,16,8658800
"3",3,27.6595744680851,7.25,10,9,FALSE,TRUE,FALSE,FALSE,16,7362789
"3",7,53.9136083143878,6,10,9,TRUE,FALSE,FALSE,FALSE,16,9426011
"3",6,61.4010989010989,9,20,8,FALSE,TRUE,FALSE,FALSE,20.5,6959083
"3",0,40.7378640776699,4.25,30,9,TRUE,FALSE,FALSE,FALSE,16,7050475
"3",3,41.1177644710579,3.5,20,10,FALSE,TRUE,FALSE,FALSE,15.8181818181818,6685845
"3",7,31.1550151975684,7.75,20,9,FALSE,TRUE,FALSE,FALSE,16.25,7470633
"3",4,42.9126213592233,4.16666666666667,10,9,TRUE,FALSE,FALSE,FALSE,20.5,7120780
"3",10,39.8947829899167,5.4,30,9,TRUE,FALSE,FALSE,FALSE,7.8,8666208
"3",6,27.8987341772152,6.33333333333333,10,9,TRUE,FALSE,FALSE,FALSE,20.5,6855314
"3",8,45.1732673267327,5.4,10,10,TRUE,FALSE,FALSE,FALSE,10.7692307692308,7759761
