"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"백야행",7121437000,949896,387,30390,2009-11-19,"(주)시네마서비스","청소년관람불가","멜로/로맨스,미스터리,범죄,스릴러","박신우","한석규,손예진,고수,이민정,김정국,손소영,서동수,정진,박혜련,한상희,서진원,최은선,김지현,박성웅,박진우,최진호,윤다경,예수정,정인기","(주)시네마서비스,폴룩스픽쳐스(주)"
"백프로",284106600,37909,236,4915,2014-04-03,"(주)마인스 엔터테인먼트","15세이상관람가","코미디,드라마","김명균","윤시윤,여진구,천호진,박상면,이원종,이경영,이병준,김보미,강경덕,박효준,정유신,정진욱,조세영,조영진,윤영민,이민영,김영호,김지연,김진아,윤영민,지대한,공정환,김보미,문동혁,이언수,김예나","(주)시네마제니스"
"버닝",4716771098,528435,739,26514,2018-05-17,"CGV아트하우스","청소년관람불가","미스터리","이창동","유아인,스티븐 연,전종서,이고운,이수정,배민정,이승호,이영석,김정은,김정현,이현수,김지은,김지현,김현우,유혜승,문성근,임용순,조용준,최선호,최선호,김건희,김명호,함선일,김민성,김수경,김민희,김민지,이봉련,장원형,이중옥,옥자연,조용준,유정호,김홍기","파인하우스필름(주),나우필름(주)"
"번 더 스테이지: 더 무비",2671391900,315010,243,4714,2018-11-15,"월트디즈니컴퍼니코리아 유한책임회사","전체관람가","기타","박준수","김남준,김석진,민윤기,정호석,박지민,김태형,전정국,방시혁,윤석준","빅히트 엔터테인먼트,(주)캠프엔터테인먼트"
"번개맨",517127000,69363,393,4644,2016-02-11,"(주)키다리이엔티","전체관람가","판타지,가족","조근현","정현진,루나,박중금","(주)드림써치C&C,한국교육방송공사 EBS"
"번개맨과 신비의 섬",486548700,60561,191,2560,2018-04-05,"힘컨텐츠(주),(주)디스테이션","전체관람가","가족,뮤지컬","김지열","서홍석,유수호,최오식,이상철,김수미,김수미","힘컨텐츠(주),한국교육방송공사 EBS"
"번개맨의 비밀",395122050,51040,309,2273,2018-12-06,"(주)디스테이션","전체관람가","가족,뮤지컬","강유선","서홍석,유수호,최오식,이상철,김수미,김성웅,이상철,이수현","힘컨텐츠(주),한국교육방송공사 EBS"
"범죄도시",56322153349,6880546,1315,149389,2017-10-03,"메가박스중앙(주)플러스엠,(주)키위미디어그룹","청소년관람불가","범죄,액션","강윤성","마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호","(주)홍필름,(주)비에이엔터테인먼트"
"범죄와의 전쟁: 나쁜놈들 전성시대",36540327500,4720050,713,91892,2012-02-02,"(주)쇼박스","청소년관람불가","범죄,드라마","윤종빈","최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕,김종수,오만석,정재헌,고규필,이세랑,박인수,권태원,강신철,한성천,이유준,김응수,안민영,노태엽,김종구,이윤희,김재영,손병욱,이승민,김영선","(주)팔레트픽처스,(주)쇼박스"
"베를린",52356534637,7166453,894,111749,2013-01-30,"(주)씨제이이엔엠","15세이상관람가","액션","류승완","하정우,한석규,류승범,전지현,이경영,최무성,곽도원,김서형,백승익,배정남,곽진석,김서원","(주)외유내강,(주)씨제이이엔엠"
