"cluster","감독_배우시너지","스크린점유율","감독점수","장르_관객점수부여","배우점수","배급사점수"
"1",3,23.7975951903808,3,10,4,1
"1",8,48.2624228645664,2,10,8.25,1
"1",0,36.9047619047619,2.33333333333333,10,4,1
"1",3,35.2794411177645,3.57142857142857,10,6.77777777777778,1
"1",0,21.6432865731463,3.5,10,7.66666666666667,1
"1",6,28.4959154252763,3.5,20,6.5,1
"1",1,18.1432038834951,3.57142857142857,10,6.77777777777778,1
"1",5,40.1770514130065,1.5,10,11.75,1
"1",7,34.0194174757282,4,10,4,1
"1",4,32.5502213142663,4,10,11.375,2
"1",7,47.5054229934924,2,10,8,2
"1",6,28.277071459886,4.16666666666667,20,6.7,2
"1",6,44.4323933477947,5.25,20,11.375,2
"1",7,26.1412782316194,5.4,10,10.7692307692308,2
"1",4,46.4761286131861,2,10,11.2,2
"1",0,38.0320054477358,2.6,10,10,2
"1",2,14.4417475728155,2.75,10,6.2,2
"1",8,27.6098901098901,4,10,14.5,2
"1",4,25.4685247477174,5,10,14.5,2
"1",0,38.2013201320132,5.66666666666667,10,6.25,2
"1",6,35.9432234432234,4,20,6.77777777777778,2
"1",7,29.1916167664671,4,20,4,2
"1",8,34.809294169224,3,10,7,2
"1",7,26.5469061876248,2.5,10,7.33333333333333,2
"1",7,45.4757281553398,3.25,10,12.6666666666667,2
"1",8,41.2147505422993,2.33333333333333,10,6.25,2
"1",5,42.4488470282559,1.5,10,9.66666666666667,2
"1",4,40.0749063670412,1.85714285714286,10,12.8,2
"1",8,46.2078035949145,5,20,8.2,2
"1",0,27.5582573454914,3.5,10,7.8,2
"1",9,36.9505494505495,2.16666666666667,20,8.25,2
"1",7,20.8582834331337,2.25,10,4,2
"1",6,36.944583125312,3.57142857142857,10,10.8461538461538,2
"1",4,34.0346534653465,3.5,20,15.6363636363636,2
"1",0,23.4223300970874,3.25,10,9.6,2
"1",1,26.0385005065856,3,10,4,2
"1",8,39.0179745725559,7.25,10,11,2
"1",0,38.7129724208376,1.33333333333333,10,9.2,3
"1",4,29.1868932038835,2.71428571428571,10,12.125,3
"1",6,37.044433349975,4.25,10,4,3
"1",0,19.1712431352971,6,10,7.75,3
"1",4,25.6914893617021,3.57142857142857,10,5.8,3
"1",0,23.5646530204693,2.5,10,13.5,3
"2",4,21.2985436893204,2.83333333333333,10,5,3
"2",14,43.452380952381,3.5,10,9,3
"2",9,51.5545914678236,9,20,11,3
"2",7,45.7508250825082,4,10,10.5555555555556,3
"2",4,44.8416751787538,4.66666666666667,10,12.8,3
"2",9,61.1135466900482,4.66666666666667,20,12.6666666666667,3
"2",6,49.074374797012,2.5,10,9.2,3
"2",4,27.0543008169149,2.16666666666667,10,16.25,3
"2",10,47.3608098336949,4.5,10,11.2,3
"2",4,37.0421245421245,5,10,12.6666666666667,3
"2",9,37.4368932038835,2.8,20,9.83333333333333,3
"2",4,38.2978723404255,5.25,10,8.25,3
"2",2,52.1620701395982,1.75,10,11.2,3
"2",4,22.2340425531915,7.83333333333333,20,7,3
"2",9,33.3493512734262,3.5,10,13.5,3
"2",8,64.014290354011,1,30,12.6666666666667,3
"2",6,34.2623738587218,4.66666666666667,10,12.6666666666667,3
"2",10,47.9376420915882,2.16666666666667,20,11.2,3
"2",9,49.9174917491749,3.54545454545455,20,15.8181818181818,3
"2",8,35.6684981684982,5,10,9,3
"2",4,30.7234432234432,2.6,10,12.125,3
"2",4,25.0124812780829,3.75,20,5,3
"2",5,52.4344569288389,3.5,20,9,3
"2",5,36.4728495915425,3.66666666666667,10,9.75,3
"2",5,41.7904290429043,9,10,9.66666666666667,3
"2",3,31.8642350557244,2.83333333333333,10,11.75,3
"2",8,45.1140619679946,5,10,10.8461538461538,3
"2",5,21.6019417475728,7,30,9,3
"2",7,28.4073889166251,8.33333333333333,10,15.8181818181818,3
"2",5,30.6613226452906,12.25,20,10.8461538461538,3
"2",3,32.1175278622087,3.5,10,15.6363636363636,3
"2",3,39.8409255242227,3.5,20,4.66666666666667,3
"2",7,21.6067864271457,4.66666666666667,10,12.6666666666667,3
"2",9,30.6583373378184,6.33333333333333,10,8.66666666666667,3
"2",8,26.1702127659574,12.25,10,11,3
"2",2,21.6489361702128,3.66666666666667,10,9,3
"2",9,45.9805825242718,3.66666666666667,10,17,3
"3",6,46.9631236442516,4,10,16,3
"3",10,70.368932038835,9,10,10.7692307692308,3
"3",10,57.6699029126214,4.66666666666667,10,16,3
"3",6,50.3253796095445,4.16666666666667,20,10.8461538461538,3
"3",7,20.3592814371257,7.25,10,16,3
"3",7,56.7765567765568,4.5,20,16,3
"3",8,28.5571142284569,7.83333333333333,10,16.75,3
"3",6,73.2827187274042,5,20,20.5,3
"3",1,46.5759075907591,2.6,10,11.375,3
"3",0,41.0379625180202,3.66666666666667,20,16,3
"3",0,31.4936708860759,8,20,16,3
"3",4,47.9223300970874,4.33333333333333,10,16,3
"3",8,58.2912621359223,3.5,20,15.6363636363636,3
"3",7,56.0776699029126,3.5,20,15.8181818181818,3
"3",5,47.5415762834418,5,10,9.2,3
"3",8,40.9340659340659,5,20,22,3
"3",10,51.6483516483517,9.25,30,16,3
"3",9,45.0241122314774,5.25,10,16,3
"3",3,27.6595744680851,7.25,10,16,3
"3",7,53.9136083143878,6,10,16,3
"3",6,61.4010989010989,9,20,20.5,3
"3",0,40.7378640776699,4.25,30,16,3
"3",3,41.1177644710579,3.5,20,15.8181818181818,3
"3",7,31.1550151975684,7.75,20,16.25,3
"3",4,42.9126213592233,4.16666666666667,10,20.5,3
"3",10,39.8947829899167,5.4,30,7.8,3
"3",6,27.8987341772152,6.33333333333333,10,20.5,3
"3",8,45.1732673267327,5.4,10,10.7692307692308,3
