"영화명","누적관객수","매출액점유율","누적매출액","스크린수","매출액","관객수","상영횟수","개봉일","제작사","배급사","등급","장르","감독","배우"
"두처제2",120,0,699000,19,699000,120,20,"2017-12-15","스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","박주영",""
"대물 변강쇠",159,0,798000,21,798000,159,21,"2017-12-19","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이동현",""
"내 애인의 엄마: 내 여자가 되던 날 (무삭제)",1,0,5000,1,5000,1,1,"2017-12-20","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이진",""
"신과함께-죄와 벌",14411775,3.8,115707627637,1912,115707627637,14411775,213315,"2017-12-20","리얼라이즈픽쳐스(주)","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","판타지","김용화","하정우"
"작은 엄마 2: 삼촌의 여자들",1,0,5000,1,5000,1,1,"2017-12-20","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"착한 새엄마",1,0,5000,1,5000,1,1,"2017-12-20","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"친구엄마: 이혼한 그녀의 남자가 되던 날",1,0,5000,1,5000,1,1,"2017-12-20","(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"사촌누나와 동거-무삭제",180,0,1e+06,20,1e+06,180,20,"2017-12-21","(주)이놀미디어","(주)이놀미디어","청소년관람불가","기타","김순수","이은미"
"엄마친구들",130,0,770000,20,770000,130,20,"2017-12-21","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단",""
"정사: 바람난 유부녀들-감독판",1,0,3000,1,3000,1,1,"2017-12-24","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","박범수",""
"불륜의 시대 감독판",150,0,754000,21,754000,150,21,"2017-12-26","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","박은수","이수"
"1987",7232387,0.8,58169776145,1299,58169776145,7232387,138226,"2017-12-27","(주)우정필름","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","안대겸"
"광인옥한흠",2985,0,22537200,18,22537200,2985,170,"2017-12-28","파이오니아21","파이오니아21","전체관람가","다큐멘터리","김상철","옥한흠"
"엄마의맛-무삭제",10,0,50000,1,50000,10,1,"2017-12-29","스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","박주영",""
"엄마친구 4",130,0,774000,20,774000,130,20,"2018-01-04","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","채준우",""
"새엄마의 섹스 교육 무삭제판",1,0,6000,1,6000,1,1,"2018-01-09","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
"스와핑 : 형의 여자 무삭제판",1,0,6000,1,6000,1,1,"2018-01-09","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
"엄마 친구 : 그녀의 섹스고백 무삭제판",1,0,6000,1,6000,1,1,"2018-01-09","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
"직장 스와핑 : 예쁜 여직원들 무삭제판",1,0,6000,1,6000,1,1,"2018-01-09","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
"어린 엄마",179,0,997000,20,997000,179,20,"2018-01-10","(주)에이블엔터테인먼트","(주)에이블엔터테인먼트","청소년관람불가","멜로/로맨스","계장혁","이지현"
"엄마의 일탈 - 아들의 친구를 사랑하다",10,0,50000,1,50000,10,1,"2018-01-10","에이원 미디어","에이원 미디어","청소년관람불가","멜로/로맨스","윤채아",""
"완벽한 섹스의 맛-감독판",4,0,9000,3,9000,4,4,"2018-01-10","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"음란한 처제",10,0,50000,1,50000,10,1,"2018-01-10","에이원 미디어","에이원 미디어","청소년관람불가","멜로/로맨스","윤채아",""
"장모의 유혹 - 아내가 집에 없던 날",10,0,50000,1,50000,10,1,"2018-01-10","에이원 미디어","에이원 미디어","청소년관람불가","멜로/로맨스","윤채아",""
"정사2: 친구 새엄마-무삭제판",5,0,11000,5,11000,5,5,"2018-01-10","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이동현",""
"첫경험",179,0,998000,19,998000,179,20,"2018-01-10","(주)컨텐츠 빌리지","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","김태수","이수"
"내 아내의 언니 2",120,0,714000,20,714000,120,20,"2018-01-11","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김부곤",""
"새엄마 새누나 무삭제판",1,0,6000,1,6000,1,1,"2018-01-11","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","김민식",""
"엄마친구의 섹스 무삭제판",1,0,6000,1,6000,1,1,"2018-01-11","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
"파도 여인 그리고 탱고 무삭제판",1,0,5000,1,5000,1,1,"2018-01-12","(주)갑종무비필름","(주)에스와이미디어","청소년관람불가","멜로/로맨스","박갑종","허지혜"
"정사 : 바람난 유부녀들 무삭제판",3,0,6000,3,6000,3,3,"2018-01-15","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","박범수",""
"아내를 바꾸다 무삭제",1,0,6000,1,6000,1,1,"2018-01-16","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","김무원","백세리"
"여자 보험왕 : 그녀의 영업비밀 무삭제",1,0,6000,1,6000,1,1,"2018-01-16","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","곽영근","오주하"
"정사 : 친구의 엄마 무삭제",1,0,6000,1,6000,1,1,"2018-01-16","(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","곽영근",""
"감금의 시간 2 무삭제",120,0,701000,20,701000,120,20,"2018-01-17","(주)영화사히트","(주)영화사히트","청소년관람불가","코미디","김대성",""
"그것만이 내 세상",3420172,0.015,27456797382,956,27456797382,3420172,95437,"2018-01-17","(주)제이케이필름","(주)씨제이이엔엠","12세이상관람가","코미디","최성현","이병헌"
"돌아와요 부산항애(愛)",6954,0,53622300,88,53622300,6954,834,"2018-01-17","(주)블랙홀엔터테인먼트","(주)나이너스엔터테인먼트","15세이상관람가","범죄","박희준","성훈"
"동창생의 목적 - 감독판",153,0,825000,21,825000,153,28,"2018-01-17","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"연변 아가씨의 맛섹사 - 감독판",2,0,3000,2,3000,2,2,"2018-01-17","(주)케이알씨지","(주)케이알씨지","청소년관람불가","멜로/로맨스","이민",""
"비밀정사 : 작은엄마",1,0,6000,1,6000,1,1,"2018-01-18","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"새엄마는 전여친",1,0,6000,1,6000,1,1,"2018-01-18","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"정사 : 시아버지와 도련님",1,0,6000,1,6000,1,1,"2018-01-18","(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
